1.107	این	این	în
1.107	سده	سده	sadah
1.107	یادگار	یادگار	yâd-gâr
1.108	بسی	بسی	basî
1.108	باد	باد	bâd
1.108	چون	چون	čûn
1.108	او	او	û
1.108	دگر	دگر	digar
1.108	شهریار	شهریار	šahryâr
1.109	کز	کز	k-az
1.109	آباد	آباد	âbâd
1.109	کردن	fail	noxlit
1.109	جهان	جهان	ǧihân
1.109	شاد	شاد	šâd
1.109	کرد	کرد	kard
1.110	جهانی	جهانی	ǧihânî
1.110	به	به	bih
1.110	نیکی	نیکی	nîkî
1.110	از	از	az
1.110	او	او	û
1.110	یاد	یاد	yâd
1.110	کرد	کرد	kard
1.111	بدان	fail	noxlit
1.111	ایزدی	ایزدی	îzadî
1.111	فرّ	فرّ	noxlit
1.111	و	و	û
1.111	جاه	جاه	ǧâh
1.111	کیان	fail	noxlit
1.112	ز	ز	zi
1.112	نخچیر	نخچیر	naḫčîr
1.112	گور	گور	gûr
1.112	و	و	û
1.112	گوزن	گوزن	gavzan
1.112	ژیان	ژیان	žiyân
1.113	جدا	جدا	ǧudâ
1.113	کرد	کرد	kard
1.113	گاو	گاو	gâv
1.113	و	و	û
1.113	خر	خر	ḫar
1.113	و	و	û
1.113	گوسپند	گوسپند	gûspand
1.114	به	به	bih
1.114	ورز	ورز	varz
1.114	آورید	آورید	âvarîd
1.114	آنچه	آنچه	ân-čih
1.114	بد	بد	bad.:bud
1.114	سودمند	سودمند	sûd-mand
1.115	جهاندار	جهاندار	noxlit
1.115	هوشنگ	هوشنگ	hûšang
1.115	با	با	bâ
1.115	هوش	هوش	hûš
1.115	گفت	گفت	guft
1.116	بدارید	fail	noxlit
1.116	شان	شان	šân
1.116	را	را	râ
1.116	جدا	جدا	ǧudâ
1.116	جفت	جفت	ǧuft
1.116	جفت	جفت	ǧuft
1.117	بدیشان	fail	noxlit
1.117	بورزید	fail	noxlit
1.117	و	و	û
1.117	زیشان	fail	noxlit
1.117	خورید	fail	noxlit
1.118	همی	همی	hamî
1.118	باج	باج	bâǧ
1.118	را	را	râ
1.118	خویشتن	خویشتن	ḫvîš-tan
1.118	پرورید	پرورید	parvarîd
1.119	ز	ز	zi
1.119	پویندگان	fail	noxlit
1.119	هر	هر	har
1.119	چه	چه	čih
1.119	مویش	fail	noxlit
1.119	نکوست	fail	noxlit
1.120	بکشت	fail	noxlit
1.120	وز	fail	noxlit
1.120	ایشان	ایشان	îšân
1.120	بر	بر	bar:bur
1.120	آهیخت	آهیخت	âhîḫt
1.120	پوست	پوست	pûst
1.121	چو	چو	čû
1.121	سنجاب	سنجاب	sinǧâb
1.121	و	و	û
1.121	قاقم	قاقم	qâqum
1.121	چو	چو	čû
1.121	روباه	روباه	rûbâh
1.121	گرم	گرم	garm
1.122	چهارم	چهارم	čahârum
1.122	سمورست	fail	noxlit
1.122	کش	کش	kaš:k-aš:kuš
1.122	موی	موی	mûy
1.122	نرم-	نرم	noxlit
1.123	بدین	fail	noxlit
1.123	گونه	گونه	gûnah
1.123	از	از	az
1.123	چرم	چرم	čarm
1.123	پویندگان	fail	noxlit
1.124	بپوشید	fail	noxlit
1.124	بالای	fail	noxlit
1.124	گویندگان	fail	noxlit
1.125	ببخشید	fail	noxlit
1.125	و	و	û
1.125	گسترد	گسترد	gustard
1.125	و	و	û
1.125	خورد	خورد	ḫvard:ḫûrd
1.125	و	و	û
1.125	سپرد	سپرد	sipard:sipurd
1.126	برفت	fail	noxlit
1.126	و	و	û
1.126	جز	جز	ǧuz
1.126	از	از	az
1.126	نام	نام	nâm
1.126	نیکی	نیکی	nîkî
1.126	نبرد	نبرد	nabard
1.127	چهل	چهل	čihil
1.127	سال	سال	sâl
1.127	با	با	bâ
1.127	شادکامی	شادکامی	šâd-kâmî
1.127	و	و	û
1.127	ناز	ناز	nâz
1.128	به	به	bih
1.128	داد	داد	dâd
1.128	و	و	û
1.128	دهش	دهش	dihiš
1.128	بود	بود	bûd
1.128	آن	آن	ân
1.128	سرفراز	سرفراز	sar-firâz
1.129	بسی	بسی	basî
1.129	رنج	رنج	ranǧ
1.129	برد	برد	burd
1.129	اندر	اندر	andar
1.129	آن	آن	ân
1.129	روزگار	روزگار	rûzgâr
1.130	به	به	bih
1.130	افسون	افسون	afsûn
1.130	و	و	û
1.130	اندیشه	اندیشه	andîšah
1.130	بی--شمار	fail	noxlit
1.131	چو	چو	čû
1.131	پیش	پیش	pîš
1.131	آمدش	fail	noxlit
1.131	روزگار	روزگار	rûzgâr
1.131	بهی	بهی	bihî
1.132	از	از	az
1.132	او	او	û
1.132	مر	مر	mar
1.132	دری	دری	darî
1.132	ماند	ماند	mând
1.132	تخت	تخت	taḫt
1.132	مهی	مهی	mihî
1.133	زمانه	زمانه	zamânah
1.133	نه	نه	nah:nih
1.133	دادش	fail	noxlit
1.133	زمانی	fail	noxlit
1.133	درنگ	درنگ	dirang
1.134	شد	شد	šud
1.134	آن	آن	ân
1.134	شاه	شاه	šâh
1.134	هوشنگ	هوشنگ	hûšang
1.134	با	با	bâ
1.134	هوش	هوش	hûš
1.134	و	و	û
1.134	هنگ	هنگ	hang
1.135	نپیوست	fail	noxlit
1.135	خواهد	fail	noxlit
1.135	جهان	جهان	ǧihân
1.135	با	با	bâ
1.135	تو	تو	tû
1.135	مهر	مهر	mihr:muhr
1.136	نه	نه	nah:nih
1.136	نیز	نیز	nîz
1.136	آشکارا	آشکارا	âšikârâ
1.136	نمایدت	fail	noxlit
1.136	چهر	چهر	čihr
2.1	یکی	fail	noxlit
2.1	مرد	مرد	mard:murd
2.1	بود	بود	bûd
2.1	اندر	اندر	andar
2.1	آن	آن	ân
2.1	روزگار	روزگار	rûzgâr
2.2	ز	ز	zi
2.2	دشت	دشت	dašt
2.2	سواران	fail	noxlit
2.2	نیزه	نیزه	nîzah
2.2	گذار	گذار	guẕâr
2.3	گرانمایه	گرانمایه	girân-mâyah
2.3	هم	هم	ham
2.3	شاه	شاه	šâh
2.3	و	و	û
2.3	هم	هم	ham
2.3	نیک	fail	noxlit
2.3	مرد	مرد	mard:murd
2.4	ز	ز	zi
2.4	ترس	ترس	tars
2.4	جهاندار	جهاندار	noxlit
2.4	با	با	bâ
2.4	باد	باد	bâd
2.4	سرد	fail	noxlit
2.5	که	که	kih
2.5	مرداس	مرداس	mirdâs
2.5	نام	نام	nâm
2.5	گرانمایه	گرانمایه	girân-mâyah
2.5	بود	بود	bûd
2.6	بداد	fail	noxlit
2.6	و	و	û
2.6	دهش	دهش	dihiš
2.6	برترین	برترین	bar-tarîn
2.6	پایه	پایه	pâyah
2.6	بود	بود	bûd
2.7	مر	مر	mar
2.7	او	او	û
2.7	را	را	râ
2.7	ز	ز	zi
2.7	دوشیدنی	دوشیدنی	dûšîdanî
2.7	چارپای	چارپای	čâr-pây
2.8	ز	ز	zi
2.8	هر	هر	har
2.8	یک	یک	yak
2.8	هزار	هزار	hazâr
2.8	آمدندی	fail	noxlit
2.8	به	به	bih
2.8	جای	جای	ǧây
2.9	بز	بز	buz
2.9	و	و	û
2.9	اشتر	اشتر	uštur
2.9	و	و	û
2.9	میش	میش	mîš
2.9	را	را	râ
2.9	همچنین	همچنین	ham-čunîn
2.10	به	به	bih
2.10	دوشندگان	fail	noxlit
2.10	داده	fail	noxlit
2.10	بد	بد	bad.:bud
2.10	پاک	پاک	pâk
2.10	دین-	دین	noxlit
2.11	همان	همان	ham-ân
2.11	گاو	گاو	gâv
2.11	دوشا	fail	noxlit
2.11	به	به	bih
2.11	فرمانبری	فرمانبری	noxlit
2.12	همان	همان	ham-ân
2.12	تازی	تازی	tâzî
2.12	اسپ	اسپ	asp
2.12	رمنده	fail	noxlit
2.12	فری	فری	farî
2.13	به	به	bih
2.13	شیر	شیر	šîr
2.13	آن	آن	ân
2.13	کسی	fail	noxlit
